Episode | Slack  | LUT |  FF | LUTRAM | BRAM | Instructions
--------+--------+-----+-----+--------+------+-------------
  ep01  | 36.051 |  25 |  25 |        |      |
  ep02  | 35.259 |  37 |  28 |        |      |
  ep03  | 15.949 |  77 |  75 |   8    |      |
  ep04  | 11.112 | 205 |  75 |   8    |      |
  ep05  | 10.214 | 241 |  94 |   8    |      |    1
  ep06  |  9.940 | 300 | 110 |   8    |      |    4
  ep07  | 10.446 | 309 | 118 |   8    |      |    4
  ep08  |  8.788 | 346 | 114 |        |  1   |   16
  ep09  |  7.798 | 406 | 116 |        |  1   |   31
  ep10  |  8.141 | 404 | 116 |        |  1   |   31
  ep11  |  7.414 | 426 | 116 |        |  2   |   39
  ep12  |  7.735 | 478 | 126 |        |  2   |   45
  ep13  |  1.929 | 560 | 126 |        |  2   |   64
  ep14  |  2.030 | 616 | 142 |        |  2   |   90
  ep15  |  1.079 | 707 | 142 |        |  2   |  132
  ep16  |  1.701 | 732 | 150 |        |  2   |  148
  ep17  |  1.676 | 793 | 150 |        |  9   |  151

